,vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,mileage,unix_time,acc_speed,acce,dece,tierd_drive,daisu_hire,max_daisu,off_flip,over_speed,change_angle,rapid_change_road,danger_score,date,province,city,district,danger_rate
0,AA00001,AAA9102001,120,115.944523,28.651165,1,0,0,0,0,2018-08-04 01:22:02,0,4678,1533316922.0,0.0,0,0,0,0,0,0,0,0,0,0.0,4/8/2018,江西,南昌,青云谱区,0
1,AA00001,AAA9102001,113,115.944523,28.651151,1,0,0,0,0,2018-08-04 01:23:53,0,4678,1533317033.0,0.0,0,0,0,0,0,0,0,7,0,0.0,4/8/2018,江西,南昌,青云谱区,0
2,AA00001,AAA9102001,114,115.944571,28.65114,1,0,0,0,0,2018-08-04 01:23:54,11,4678,1533317034.0,0.5555555555555556,0,0,0,0,0,0,0,1,0,0.0,4/8/2018,江西,南昌,青云谱区,0
3,AA00001,AAA9102001,110,115.944603,28.651126,1,0,0,0,0,2018-08-04 01:23:55,12,4678,1533317035.0,0.8333333333333334,0,0,0,0,0,0,0,4,0,0.0,4/8/2018,江西,南昌,青云谱区,0
4,AA00001,AAA9102001,108,115.944643,28.651118,1,0,0,0,0,2018-08-04 01:23:56,14,4678,1533317036.0,0.8333333333333334,0,0,0,0,0,0,0,2,0,0.0,4/8/2018,江西,南昌,青云谱区,0
5,AA00001,AAA9102001,108,115.944691,28.651106,1,0,0,0,0,2018-08-04 01:23:57,17,4678,1533317037.0,0.5555555555555556,0,0,0,0,0,0,0,0,0,0.0,4/8/2018,江西,南昌,青云谱区,0
6,AA00001,AAA9102001,108,115.944753,28.651090000000003,1,0,0,0,0,2018-08-04 01:23:58,21,4678,1533317038.0,0.1851851851851852,0,0,0,0,0,0,0,0,0,0.0,4/8/2018,江西,南昌,青云谱区,0
7,AA00001,AAA9102001,112,115.944816,28.651071,1,0,0,0,0,2018-08-04 01:23:59,23,4678,1533317039.0,0.0,0,0,0,0,0,0,0,4,0,0.0,4/8/2018,江西,南昌,青云谱区,0
8,AA00001,AAA9102001,112,115.944878,28.65105,1,0,0,0,0,2018-08-04 01:24:00,23,4678,1533317040.0,0.2777777777777778,0,0,0,0,0,0,0,0,0,0.0,4/8/2018,江西,南昌,青山湖区,0
9,AA00001,AAA9102001,112,115.944941,28.65103,1,0,0,0,0,2018-08-04 01:24:01,23,4678,1533317041.0,0.3703703703703704,0,0,0,0,0,0,0,0,0,0.0,4/8/2018,江西,南昌,青山湖区,0
