acc_speed,acc_state,acce,change_angle,city,conditions,daisu_hire,danger_rate,danger_score,date,dece,direction_angle,district,foot_brake,gps_speed,hand_brake,high_temp,lat,left_turn_signals,lng,low_temp,max_daisu,mileage,off_flip,over_speed,precipitation,province,rapid_change_road,relative_humidity,right_turn_signals,tierd_drive,vehicleplatenumber,week,wind_direction,wind_power
-.833333333,1,0,1,南昌,雷阵雨转多云,0,0,0,2018/8/4,0,66,南昌,0,24,0,35,28.670986,0,115.978476,26,0,4684,0,0,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
-.648148148,1,0,2,南昌,雷阵雨转多云,0,0,0,2018/8/4,0,67,南昌,0,26,0,35,28.670961,0,115.978415,26,0,4684,0,0,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
-.833333333,1,0,0,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,69,南昌,0,30,0,35,28.670935,0,115.978348,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
-.833333333,1,0,1,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,69,南昌,0,33,0,35,28.670908,0,115.97827,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
-.833333333,1,0,2,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,70,南昌,0,35,0,35,28.670878,0,115.97818,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
-.37037037,1,0,3,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,72,南昌,0,34,0,35,28.67085,0,115.978085,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
.092592593,1,0,5,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,75,南昌,0,32,0,35,28.670826,0,115.977993,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
.277777778,1,0,4,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,80,南昌,0,32,0,35,28.67081,0,115.977906,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
.185185185,1,0,1,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,76,南昌,0,32,0,35,28.670795,0,115.977818,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
-.185185185,1,0,1,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,75,南昌,0,34,0,35,28.670778,0,115.977731,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
0,1,0,2,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,76,南昌,0,32,0,35,28.670758,0,115.977636,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
0,1,0,2,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,78,南昌,0,32,0,35,28.67074,0,115.977545,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
.185185185,1,0,1,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,80,南昌,0,32,0,35,28.670725,0,115.977453,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
0,1,0,0,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,81,南昌,0,32,0,35,28.670695,0,115.977271,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
-.138888889,1,0,1,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,81,南昌,0,34,0,35,28.670663,0,115.977073,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
-.37037037,1,0,3,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,80,南昌,0,36,0,35,28.670645,0,115.976975,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
-.347222222,1,0,3,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,83,南昌,0,37,0,35,28.670631,0,115.97687,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
-.277777778,1,0,0,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,86,南昌,0,37,0,35,28.670621,0,115.976765,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
-.092592593,1,0,1,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,86,南昌,0,37,0,35,28.670615,0,115.976658,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
0,1,0,2,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,87,南昌,0,37,0,35,28.670608,0,115.976553,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
.185185185,1,0,0,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,85,南昌,0,35,0,35,28.670601,0,115.976451,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
.185185185,1,0,2,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,85,南昌,0,35,0,35,28.670595,0,115.97635,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
.185185185,1,0,7,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,87,南昌,0,35,0,35,28.67059,0,115.976253,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
.092592593,1,0,7,南昌,雷阵雨转多云,0,1,3,2018/8/4,0,94,南昌,0,34,0,35,28.67059,0,115.976155,26,0,4684,0,1,,江西,0,,0,0,AA00001,星期六,西南风,1-2级
